G11-OFF retinal ganglion cell	CL:0003016
G11-ON retinal ganglion cell	CL:0003015
G2 retinal ganglion cell	CL:0003003
G3 retinal ganglion cell	CL:0003004
G4 retinal ganglion cell	CL:0003005
G4-OFF retinal ganglion cell	CL:0003007
G4-ON retinal ganglion cell	CL:0003006
G5 retinal ganglion cell	CL:0003008
G6 retinal ganglion cell	CL:0003009
G7 retinal ganglion cell	CL:0003010
G8 retinal ganglion cell	CL:0003011
G9 retinal ganglion cell	CL:0003012
GABA-ergic neuron	CL:0000617
GABAergic amacrine cell	CL:4030027
GABAergic inhibitory interneuron	CL:0011005
GABAergic interneuron	CL:0011005
GABAergic interneuron of the anterior substantia nigra pars reticulata	CL:4042026
GABAergic interneuron of the posterior substantia nigra pars reticulata	CL:4042027
GABAergic neuron	CL:0000617
GABAnergic interplexiform cell	CL:0011106
GAG secreting cell	CL:0000153
GB cell	CL:4033035
GBC	CL:4023164
GCP	CL:0002362
GHRH secreting cell	CL:0002373
GIP cell	CL:0002278
GLR cell	CL:0000427
GRP cell	CL:4040000
GnRH neuron	CL:0011111
GnRH-secreting neuron	CL:0011111
Golgi cell	CL:0000119
Golgi neuron	CL:0000119
Goormaghtigh cell	CL:0002173
H minus	CL:0002674
H plus	CL:0002675
H- cell	CL:0002674
H1	CL:0004217
H1 horizontal cell	CL:0004217
H2	CL:0004218
H2 horizontal cell	CL:0004218
HBC	CL:3000001
HC	CL:0000745
HCs	CL:0000745
HEV cell	CL:0002652
HHyP cell	CL:0009013
HSC	CL:0000037
Hensen cell	CL:0000633
Hensen's cell	CL:0000633
His-Purkinje system cell	CL:0010007
Hofbauer cell	CL:3000001
Horizontal cells of Cajal	CL:0000695
HpSC	CL:0002195
Hurthle cells	CL:0002200
I-1	CL:0004138
I-2	CL:0004120
ICC	CL:0002088
ICLC	CL:0017004
ILA	CL:4042009
ILC1	CL:0001068
ILC2	CL:0001069
IMB cell	CL:4033034
IMB cone bipolar cell	CL:0000759
IT neuron	CL:4023008
